open_time,open,high,low,close
1787985000000,77387.4,77463.9,77387.3,77417.5
1787985900000,77417.5,77449.4,77404.2,77437.4
1787986800000,77437.5,77507.0,77412.7,77436.6
1787987700000,77436.6,77499.5,77421.0,77491.2
1787988600000,77491.3,77630.0,77477.9,77623.9
1787989500000,77623.9,77641.2,77586.6,77587.0
1787990400000,77586.9,77587.0,77442.1,77489.4
1787991300000,77489.5,77560.7,77472.4,77559.6
1787992200000,77559.6,77559.7,77478.4,77550.3
1787993100000,77550.3,77608.3,77500.0,77608.3
1787994000000,77608.2,77652.8,77536.1,77613.9
1787994900000,77613.9,77643.1,77579.0,77600.0
1787995800000,77600.0,77728.9,77600.0,77627.3
1787996700000,77627.3,77643.0,77618.9,77618.9
1787997600000,77619.0,77619.0,77481.9,77549.0
1787998500000,77549.0,77690.0,77548.9,77639.1
1787999400000,77639.0,77695.4,77633.5,77653.1
1788000300000,77653.1,77697.7,77602.4,77602.4
1788001200000,77602.5,77688.0,77589.1,77688.0
1788002100000,77688.0,77700.0,77642.1,77662.0
1788003000000,77662.0,77676.8,77609.3,77612.1
1788003900000,77612.1,77641.3,77540.0,77563.4
1788004800000,77563.4,77590.7,77540.5,77569.9
1788005700000,77569.9,77632.1,77506.6,77563.0
1788006600000,77563.0,77571.4,77472.4,77550.0
1788007500000,77549.9,77569.9,77518.5,77559.1
1788008400000,77559.2,77648.8,77534.0,77629.6
1788009300000,77629.7,77700.0,77615.4,77622.6
1788010200000,77622.6,77686.9,77609.1,77633.9
1788011100000,77633.9,77699.9,77623.1,77670.0
1788012000000,77670.1,77696.0,77626.9,77656.7
1788012900000,77656.8,77723.9,77642.1,77667.9
1788013800000,77668.0,77995.0,77655.0,77894.2
1788014700000,77894.3,78135.0,77894.2,77979.2
1788015600000,77979.2,77989.7,77835.2,77910.0
1788016500000,77910.0,77960.0,77833.0,77864.4
1788017400000,77864.4,77864.4,77777.7,77803.8
1788018300000,77803.8,77907.7,77768.0,77824.1
1788019200000,77824.1,77959.1,77822.8,77959.1
1788020100000,77959.0,78132.4,77873.9,77923.3
1788021000000,77923.3,78000.0,77855.8,77983.5
1788021900000,77983.5,78066.9,77961.3,77989.1
1788022800000,77989.1,78053.6,77980.2,78015.3
1788023700000,78015.4,78070.0,77950.0,77950.1
1788024600000,77950.1,78000.0,77863.2,77984.2
1788025500000,77984.2,78073.0,77954.8,78073.0
1788026400000,78073.0,78128.8,78030.9,78036.5
1788027300000,78036.4,78070.6,77988.8,78016.5
1788028200000,78016.5,78191.0,77982.5,78111.7
1788029100000,78111.7,78226.5,78107.7,78121.9
1788030000000,78122.0,78282.8,78121.9,78274.9
1788030900000,78275.0,78314.9,78204.9,78212.0
1788031800000,78212.0,78234.1,78154.5,78228.4
1788032700000,78228.4,78237.1,78104.5,78154.9
1788033600000,78154.9,78275.3,78135.7,78198.7
1788034500000,78198.7,78233.4,78144.0,78144.0
1788035400000,78144.1,78144.1,78080.0,78102.3
1788036300000,78102.2,78122.0,78077.7,78094.6
1788037200000,78094.6,78156.3,78016.0,78116.7
1788038100000,78116.7,78142.8,78063.5,78068.2
1788039000000,78068.3,78093.4,78031.0,78066.2
1788039900000,78066.3,78171.0,78060.6,78131.7
1788040800000,78131.8,78190.0,78082.8,78106.6
1788041700000,78106.6,78130.0,78050.7,78117.6
1788042600000,78117.6,78149.9,78107.6,78141.0
1788043500000,78140.9,78207.0,78140.9,78194.0
1788044400000,78193.9,78224.6,78162.8,78206.5
1788045300000,78206.5,78239.9,78153.1,78224.3
1788046200000,78224.3,78238.8,78191.1,78191.1
1788047100000,78191.2,78253.5,78191.1,78200.7
1788048000000,78200.6,78206.8,78113.2,78143.1
1788048900000,78143.0,78297.3,78143.0,78186.5
1788049800000,78186.4,78273.9,78159.9,78176.1
1788050700000,78176.1,78224.7,78141.9,78144.7
1788051600000,78144.8,78159.7,78025.0,78047.6
1788052500000,78047.6,78047.6,77953.8,77983.2
1788053400000,77983.1,78044.8,77960.0,78025.7
1788054300000,78025.8,78109.2,78011.3,78050.8
1788055200000,78050.8,78101.2,78031.0,78056.0
1788056100000,78056.0,78058.6,77983.2,78007.1
1788057000000,78007.1,78095.2,77982.1,78071.0
1788057900000,78071.0,78154.4,78049.9,78072.0
1788058800000,78072.0,78096.3,78033.0,78052.5
1788059700000,78052.5,78136.0,78027.0,78136.0
1788060600000,78136.0,78211.2,78107.4,78154.7
1788061500000,78154.7,78154.8,78101.4,78101.4
1788062400000,78101.5,78188.8,78101.4,78125.7
1788063300000,78125.7,78147.3,78052.7,78085.2
1788064200000,78085.1,78085.2,77980.0,77980.0
1788065100000,77980.0,78083.1,77944.9,78083.0
